分析日時,順位,コード,総合判断,総合スコア,業種加点,業種状況,AI上昇確率(%),+2%確率(%),予測上昇幅(%),損失リスク(%),期待値(%),リスクリワード,上昇幅モデル,材料
2026-09-14 20:50,1,8766,保有・監視,68,4,保険業：上昇傾向（業種比 +1.78%）,50.4,55.3,0.52,3.42,,,参考値,Tokio Marine eyes overseas growth with Berkshire pact – report
2026-09-14 20:50,2,6098,見送り,57,0,サービス業：下落傾向（業種比 +5.89%）,50.8,58.7,0.54,5.95,,,参考値,"Is Recruit Holdings Co. (RCRUY) a Solid Growth Stock? 3 Reasons to Think ""Yes"""
2026-09-14 20:50,3,8411,見送り,52,4,銀行業：上昇傾向（業種比 +0.23%）,50.4,53.3,0.53,4.0,,,参考値,Circle Stock Is Downgraded As Stablecoin Competition Heats Up
2026-09-14 20:50,4,8058,見送り,52,0,卸売業：下落傾向（業種比 +2.23%）,47.7,50.0,0.37,4.18,,,参考値,Mitsubishi (MSBHF) Upgraded to Buy: Here's What You Should Know
2026-09-14 20:50,5,9432,見送り,51,0,情報・通信業：下落傾向（業種比 +6.31%）,47.6,22.2,0.33,2.72,,,参考値,All You Need to Know About NTT (NTTYY) Rating Upgrade to Strong Buy
2026-09-14 20:50,6,8001,見送り,49,0,卸売業：下落傾向（業種比 +5.57%）,44.4,43.1,0.36,3.64,,,参考値,Can Sally Beauty's Fuel for Growth Savings Sustain Margin Momentum?
2026-09-14 20:50,7,4502,見送り,48,0,医薬品：下落傾向（業種比 +1.55%）,47.2,47.9,0.32,2.82,,,参考値,テクニカル・市場環境
2026-09-14 20:50,8,8306,見送り,48,0,銀行業：上昇傾向（業種比 -0.45%）,46.4,46.4,0.32,3.64,,,参考値,テクニカル・市場環境
2026-09-14 20:50,9,9433,見送り,46,0,情報・通信業：下落傾向（業種比 +4.37%）,48.5,34.2,0.22,2.42,,,参考値,テクニカル・市場環境
2026-09-14 20:50,10,6758,見送り,44,0,電気機器：下落傾向（業種比 +3.40%）,47.7,48.8,0.41,3.91,,,参考値,テクニカル・市場環境
