順位,コード,銘柄名,市場,業種,規模,終値,平均売買代金(百万円),AI上昇確率(%),+2%確率(%),予測上昇幅(%),損失リスク(%),期待値(%),上昇幅モデル,テクニカル一致数
1,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,スタンダード（内国株式）,卸売業,-,77.0,198.1,88.8,86.6,,8.91,,参考値,1
2,3856,Ａｂａｌａｎｃｅ,スタンダード（内国株式）,電気機器,-,228.0,271.4,88.1,90.8,,33.98,,参考値,0
3,3189,ＡＮＡＰホールディングス,スタンダード（内国株式）,小売業,-,104.0,183.3,87.0,87.3,3.81,27.2,,参考値,3
4,4889,レナサイエンス,グロース（内国株式）,医薬品,-,1212.0,624.5,81.4,84.0,,8.98,,参考値,1
5,4593,ヘリオス,グロース（内国株式）,医薬品,-,282.0,632.5,80.5,77.4,,8.89,,参考値,3
6,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース（内国株式）,精密機器,-,20280.0,72346.9,77.0,83.1,-0.58,17.48,,参考値,3
7,460A,ＢＲＡＮＵ,グロース（内国株式）,情報・通信業,-,1025.0,22.1,76.9,80.3,,6.38,,参考値,4
8,7815,東京ボード工業,スタンダード（内国株式）,その他製品,-,341.0,12.0,76.3,79.9,,7.16,,参考値,2
9,6619,ダブル・スコープ,プライム（内国株式）,電気機器,TOPIX Small 2,161.0,340.2,74.2,68.2,,5.99,,参考値,1
10,2338,クオンタムソリューションズ,スタンダード（内国株式）,情報・通信業,-,128.0,50.7,73.6,73.9,0.96,9.71,,参考値,3
11,6993,大黒屋ホールディングス,スタンダード（内国株式）,小売業,-,85.0,207.1,72.6,55.7,,4.29,,参考値,1
12,438A,インフキュリオン,グロース（内国株式）,情報・通信業,-,1001.0,122.1,71.4,73.5,,4.47,,参考値,3
13,4074,ラキール,グロース（内国株式）,情報・通信業,-,801.0,10.5,70.7,80.5,,4.15,,参考値,1
14,4882,ペルセウスプロテオミクス,グロース（内国株式）,医薬品,-,163.0,128.0,70.2,66.8,,6.84,,参考値,3
15,6177,ＡｐｐＢａｎｋ,グロース（内国株式）,サービス業,-,86.0,34.5,70.1,59.0,,7.1,,参考値,3
16,7776,セルシード,グロース（内国株式）,精密機器,-,227.0,38.1,69.8,67.9,,4.86,,参考値,2
17,4888,ステラファーマ,グロース（内国株式）,医薬品,-,390.0,89.9,68.8,67.0,,5.88,,参考値,4
18,281A,インフォメティス,グロース（内国株式）,情報・通信業,-,420.0,31.1,68.3,71.0,1.43,5.08,,参考値,0
19,431A,ユーソナー,グロース（内国株式）,情報・通信業,-,2728.0,96.5,67.9,74.5,,7.8,,参考値,4
20,4424,Ａｍａｚｉａ,グロース（内国株式）,情報・通信業,-,337.0,152.9,67.9,62.4,,10.24,,参考値,3
21,4592,サンバイオ,グロース（内国株式）,医薬品,-,949.0,846.7,67.4,69.5,,6.6,,参考値,1
22,2901,ウェルディッシュ,スタンダード（内国株式）,食料品,-,149.0,29.7,67.3,68.6,1.0,3.62,,参考値,1
23,9425,ＲｅＹｕｕ　Ｊａｐａｎ,スタンダード（内国株式）,情報・通信業,-,242.0,395.9,67.0,65.7,,16.56,,参考値,3
24,198A,ＰｏｓｔＰｒｉｍｅ,グロース（内国株式）,情報・通信業,-,166.0,14.2,66.6,59.2,0.67,7.1,,参考値,4
25,9229,サンウェルズ,プライム（内国株式）,サービス業,TOPIX Small 2,112.0,28.0,65.5,66.9,,6.89,,参考値,0
26,477A,スタートライン,グロース（内国株式）,サービス業,-,845.0,23.0,65.3,69.9,,6.49,,参考値,4
27,2164,地域新聞社,スタンダード（内国株式）,サービス業,-,118.0,23.2,65.3,58.4,3.68,12.89,,参考値,0
28,5597,ブルーイノベーション,グロース（内国株式）,情報・通信業,-,1417.0,90.3,65.1,72.0,,8.17,,参考値,2
29,7063,Ｂｉｒｄｍａｎ,グロース（内国株式）,サービス業,-,84.0,51.3,65.1,59.5,,10.59,,参考値,1
30,6743,大同信号,スタンダード（内国株式）,電気機器,-,1010.0,28.3,65.0,51.4,,4.32,,参考値,2
31,7148,ＦＰＧ,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 1,1717.0,792.7,64.8,72.3,,2.75,,参考値,3
32,3719,ＡＩストーム,スタンダード（内国株式）,情報・通信業,-,117.0,72.5,64.6,63.2,,6.32,,参考値,0
33,2134,北浜キャピタルパートナーズ,スタンダード（内国株式）,サービス業,-,20.0,36.1,64.6,58.7,1.22,9.11,,参考値,1
34,336A,ダイナミックマッププラットフォーム,グロース（内国株式）,情報・通信業,-,1388.0,9396.4,64.2,68.4,,21.6,,参考値,3
35,2586,フルッタフルッタ,グロース（内国株式）,食料品,-,75.0,83.6,64.2,54.3,2.05,4.71,,参考値,1
36,3853,アステリア,プライム（内国株式）,情報・通信業,TOPIX Small 2,1100.0,454.9,64.1,68.9,,5.5,,参考値,1
37,3134,Ｈａｍｅｅ,スタンダード（内国株式）,小売業,TOPIX Small 2,305.0,13.7,63.9,55.4,0.6,4.22,,参考値,2
38,153A,カウリス,グロース（内国株式）,情報・通信業,-,1561.0,121.6,63.7,64.4,0.84,6.27,,参考値,4
39,8783,ａｂｃ,スタンダード（内国株式）,その他金融業,-,53.0,76.3,63.7,62.0,,10.31,,参考値,1
40,206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,グロース（内国株式）,医薬品,-,179.0,17.1,63.7,51.9,0.74,5.27,,参考値,4
41,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,グロース（内国株式）,サービス業,-,54.0,326.3,63.7,51.4,,22.82,,参考値,4
42,2342,トランスジェニックグループ,スタンダード（内国株式）,サービス業,-,255.0,42.6,63.5,52.3,0.76,4.16,,参考値,3
43,7383,ネットプロテクションズホールディングス,プライム（内国株式）,その他金融業,TOPIX Small 1,398.0,433.3,63.4,64.4,,7.19,,参考値,2
44,4596,窪田製薬ホールディングス,グロース（内国株式）,医薬品,-,64.0,90.6,63.2,57.5,,6.19,,参考値,1
45,6269,三井海洋開発,プライム（内国株式）,機械,TOPIX Mid400,9451.0,6688.8,63.1,72.5,,5.49,,参考値,0
46,4563,アンジェス,グロース（内国株式）,医薬品,-,38.0,87.7,62.7,59.1,,7.61,,参考値,1
47,2286,林兼産業,スタンダード（内国株式）,食料品,-,902.0,45.3,62.6,52.6,0.61,4.26,,参考値,3
48,5572,Ｒｉｄｇｅ－ｉ,グロース（内国株式）,情報・通信業,-,2834.0,132.9,62.4,66.3,,8.25,,参考値,3
49,7018,内海造船,スタンダード（内国株式）,輸送用機器,-,13370.0,413.3,62.2,68.4,,8.75,,参考値,3
50,2700,木徳神糧,スタンダード（内国株式）,卸売業,-,1738.0,29.2,61.9,61.3,0.49,3.37,,参考値,3
51,5132,ｐｌｕｓｚｅｒｏ,グロース（内国株式）,情報・通信業,-,2121.0,46.8,61.7,68.0,,5.27,,参考値,3
52,8136,サンリオ,プライム（内国株式）,卸売業,TOPIX Mid400,1252.0,30774.2,61.6,65.2,,5.47,,参考値,2
53,4446,Ｌｉｎｋ－Ｕグループ,スタンダード（内国株式）,情報・通信業,-,845.0,34.1,61.4,61.3,,3.82,,参考値,3
54,3070,ジェリービーンズグループ,グロース（内国株式）,卸売業,-,67.0,41.5,61.4,58.1,0.81,5.28,,参考値,1
55,3968,セグエグループ,プライム（内国株式）,情報・通信業,-,625.0,279.5,61.3,59.2,,4.89,,参考値,3
56,9501,東京電力ホールディングス,プライム（内国株式）,電気・ガス業,TOPIX Mid400,556.7,21363.0,61.1,62.4,,6.55,,参考値,3
57,1866,北野建設,スタンダード（内国株式）,建設業,-,1147.0,16.4,61.0,60.2,0.63,2.74,,参考値,2
58,3753,フライトソリューションズ,スタンダード（内国株式）,情報・通信業,-,220.0,76.0,60.9,50.9,,9.3,,参考値,2
59,6656,インスペック,スタンダード（内国株式）,電気機器,-,814.0,51.3,60.6,64.7,,5.23,,参考値,0
60,6085,アーキテクツ・スタジオ・ジャパン,グロース（内国株式）,サービス業,-,170.0,2278.4,60.6,49.4,,35.86,,参考値,2
61,338A,ＺｅｎｍｕＴｅｃｈ,グロース（内国株式）,情報・通信業,-,2390.0,1018.2,60.5,64.1,,15.0,,参考値,3
62,6335,東京機械製作所,スタンダード（内国株式）,機械,-,593.0,35.0,60.3,56.9,,3.78,,参考値,0
63,8011,三陽商会,プライム（内国株式）,繊維製品,TOPIX Small 2,1333.0,272.8,60.3,49.6,,8.9,,参考値,2
64,2208,ブルボン,スタンダード（内国株式）,食料品,-,3100.0,15.2,60.3,48.2,0.18,1.56,,参考値,2
65,254A,ＡＩフュージョンキャピタルグループ,スタンダード（内国株式）,証券、商品先物取引業,-,1194.0,35.2,60.1,54.2,0.75,2.88,,参考値,4
66,9034,南総通運,スタンダード（内国株式）,陸運業,-,1662.0,12.2,60.1,47.1,,2.04,,参考値,3
67,8894,ＲＥＶＯＬＵＴＩＯＮ,スタンダード（内国株式）,不動産業,-,20.0,11.0,60.0,58.0,,11.79,,参考値,1
68,4570,免疫生物研究所,グロース（内国株式）,医薬品,-,1156.0,186.3,60.0,57.9,,7.57,,参考値,3
69,4597,ソレイジア・ファーマ,グロース（内国株式）,医薬品,-,29.0,2075.2,59.9,64.4,,11.45,,参考値,2
70,9601,松竹,プライム（内国株式）,情報・通信業,TOPIX Small 1,11000.0,688.5,59.8,61.0,,3.45,,参考値,2
71,2673,夢みつけ隊,スタンダード（内国株式）,小売業,-,111.0,17.3,59.8,60.3,0.68,4.34,,参考値,3
72,5121,藤倉コンポジット,プライム（内国株式）,ゴム製品,TOPIX Small 2,2646.0,193.2,59.8,55.0,,3.78,,参考値,3
73,4564,オンコセラピー・サイエンス,グロース（内国株式）,医薬品,-,22.0,3909.3,59.7,58.2,,11.2,,参考値,4
74,6969,松尾電機,スタンダード（内国株式）,電気機器,-,980.0,81.6,59.7,54.7,,6.38,,参考値,0
75,7603,ジーイエット,スタンダード（内国株式）,小売業,-,39.0,58.0,59.7,51.2,,13.19,,参考値,1
76,8918,ランド,スタンダード（内国株式）,不動産業,TOPIX Small 2,11.0,3652.2,59.7,46.7,,13.64,,参考値,3
77,2694,焼肉坂井ホールディングス,スタンダード（内国株式）,小売業,-,72.0,25.2,59.7,45.0,0.59,2.23,,参考値,4
78,7095,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,プライム（内国株式）,サービス業,TOPIX Small 2,1246.0,73.1,59.6,70.0,,3.2,,参考値,3
79,157A,グリーンモンスター,グロース（内国株式）,サービス業,-,774.0,13.8,59.6,61.1,0.83,3.9,,参考値,2
80,7068,フィードフォースグループ,グロース（内国株式）,サービス業,-,595.0,27.5,59.6,54.3,,3.04,,参考値,3
81,6016,ジャパンエンジンコーポレーション,スタンダード（内国株式）,輸送用機器,-,11420.0,1315.2,59.5,66.1,,8.63,,参考値,4
82,3050,ＤＣＭホールディングス,プライム（内国株式）,小売業,TOPIX Small 1,1592.0,359.2,59.5,45.6,0.28,2.13,,参考値,3
83,7003,三井Ｅ＆Ｓ,プライム（内国株式）,機械,TOPIX Mid400,4404.0,8853.2,59.4,67.8,,6.29,,参考値,1
84,366A,ウェルネス・コミュニケーションズ,グロース（内国株式）,サービス業,-,1149.0,48.5,59.4,62.5,,3.86,,参考値,4
85,7841,遠藤製作所,スタンダード（内国株式）,その他製品,-,1076.0,10.9,59.4,48.2,,1.86,,参考値,2
86,5575,Ｇｌｏｂｅｅ,グロース（内国株式）,情報・通信業,-,1120.0,27.4,59.3,67.7,,11.18,,参考値,3
87,9262,シルバーライフ,スタンダード（内国株式）,小売業,TOPIX Small 2,680.0,11.4,59.3,53.4,,2.63,,参考値,3
88,286A,ユカリア,グロース（内国株式）,サービス業,-,808.0,18.6,59.2,54.3,0.4,3.35,,参考値,3
89,9622,スペース,プライム（内国株式）,サービス業,TOPIX Small 2,1408.0,46.9,59.2,54.0,,2.0,,参考値,1
90,6573,ＣＲＡＶＩＡ,グロース（内国株式）,サービス業,-,28.0,23.2,59.2,51.9,,9.18,,参考値,4
91,9625,セレスポ,スタンダード（内国株式）,サービス業,-,949.0,11.5,59.2,48.4,,2.55,,参考値,2
92,5985,サンコール,スタンダード（内国株式）,金属製品,TOPIX Small 2,2121.0,3950.4,59.1,63.5,,12.74,,参考値,3
93,3825,リミックスポイント,スタンダード（内国株式）,小売業,-,226.0,723.1,59.1,62.2,,11.52,,参考値,3
94,3624,アクセルマーク,グロース（内国株式）,情報・通信業,-,85.0,78.1,59.1,56.2,,9.33,,参考値,4
95,3963,シンクロ・フード,プライム（内国株式）,情報・通信業,-,321.0,29.5,59.0,56.0,,6.64,,参考値,1
96,472A,ミラティブ,グロース（内国株式）,情報・通信業,-,535.0,148.3,59.0,55.8,,7.59,,参考値,3
97,6836,ぷらっとホーム,スタンダード（内国株式）,電気機器,-,826.0,16.6,58.9,61.0,,4.54,,参考値,3
98,8624,いちよし証券,プライム（内国株式）,証券、商品先物取引業,TOPIX Small 2,1724.0,240.2,58.9,49.7,,4.91,,参考値,4
99,5967,ＴＯＮＥ,スタンダード（内国株式）,金属製品,-,460.0,10.1,58.8,57.1,,4.17,,参考値,1
100,6986,双葉電子工業,プライム（内国株式）,電気機器,TOPIX Small 2,755.0,344.5,58.8,53.5,,7.48,,参考値,4
101,4263,サスメド,グロース（内国株式）,情報・通信業,-,408.0,89.6,58.7,59.5,,8.9,,参考値,0
102,4075,ブレインズテクノロジー,グロース（内国株式）,情報・通信業,-,1282.0,376.5,58.7,59.0,,18.83,,参考値,3
103,3936,グローバルウェイ,グロース（内国株式）,情報・通信業,-,139.0,145.8,58.7,57.4,,6.17,,参考値,0
104,4026,神島化学工業,スタンダード（内国株式）,ガラス・土石製品,-,1642.0,66.2,58.7,54.4,,3.18,,参考値,1
