AI確率帯,テクニカル一致数,件数,勝率(%),平均騰落率(%),中央値(%),PF
55%未満,0,87,48.28,-0.839,-0.243,0.652
55%未満,1,158,51.9,0.169,0.182,1.089
55%未満,2,215,60.93,0.878,1.179,1.562
55%未満,3,413,48.43,0.075,-0.203,1.04
55%未満,4,138,59.42,0.915,1.143,1.491
55-60%,0,23,39.13,-1.417,-0.636,0.505
55-60%,1,27,48.15,-1.338,-0.413,0.566
55-60%,2,26,46.15,-0.639,-0.342,0.676
55-60%,3,10,40.0,0.748,-0.786,1.266
55-60%,4,9,44.44,1.124,-0.718,1.396
60-65%,0,5,40.0,-4.101,-3.898,0.182
60-65%,1,7,57.14,2.266,0.022,3.13
60-65%,2,3,66.67,-0.119,3.428,0.956
60-65%,3,1,100.0,9.202,9.202,
60-65%,4,8,37.5,-1.374,-0.864,0.374
65-70%,0,1,0.0,-6.032,-6.032,0.0
65-70%,1,2,50.0,-5.776,-5.776,0.027
65-70%,2,2,100.0,1.374,1.374,
65-70%,4,1,0.0,-1.933,-1.933,0.0
70%以上,1,2,50.0,-4.311,-4.311,0.183
70%以上,2,1,100.0,12.671,12.671,
70%以上,4,1,0.0,-1.821,-1.821,0.0
