strategy,threshold,trades,periods,win_rate,avg_return,median_return,profit_factor,max_drawdown,max_loss_streak
AI選別,0.6,34,21,47.61904761904761,0.08850736646926549,-0.33651822001975806,1.0364334193816456,-33.830604465473805,3
同日ベースライン,0.6,420,21,42.857142857142854,-0.5661918519005082,-0.31373938487951275,0.669703174512011,-22.98208659600325,7
最終ルール（AI+テクニカル・上位3）,0.6,10,7,42.857142857142854,-0.9016248526868655,-1.5261357992433053,0.6408816949782444,-11.688427150014213,2
AI選別,0.65,10,7,42.857142857142854,0.06253232495307186,-1.8210167344775374,1.025975619020764,-14.516584405238774,3
同日ベースライン,0.65,140,7,57.14285714285714,-0.09408487054558148,2.198547791819571,0.9431888000129435,-11.352249245192535,3
最終ルール（AI+テクニカル・上位3）,0.65,2,2,0.0,-1.8772361844334173,-1.8772361844334173,0.0,-1.9334556343892917,2
AI選別,0.7,4,4,50.0,0.556874458403267,0.05762659525421765,1.1799262663247032,-12.187777296321167,2
同日ベースライン,0.7,80,4,50.0,-1.1283410446635322,1.0054717637591621,0.5149536990365033,-9.276808031372475,2
最終ルール（AI+テクニカル・上位3）,0.7,1,1,0.0,-1.8210167344775374,-1.8210167344775374,0.0,0.0,1
AI選別,0.75,1,1,0.0,-1.8210167344775374,-1.8210167344775374,0.0,0.0,1
同日ベースライン,0.75,20,1,0.0,-0.3137393848795128,-0.3137393848795128,0.0,0.0,1
最終ルール（AI+テクニカル・上位3）,0.75,1,1,0.0,-1.8210167344775374,-1.8210167344775374,0.0,0.0,1
全期間ベースライン,all,1140,57,59.64912280701754,0.18482299209991235,0.990622089493957,1.1418518252790304,-24.412675361247828,4
