コード,銘柄名,市場,業種,規模,終値,平均売買代金(百万円),テクニカル一致数,候補根拠,株価基準日,取得日時
1301,極洋,プライム（内国株式）,水産・農林業,TOPIX Small 1,4680.0,158.655275,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.267158+09:00
1332,ニッスイ,プライム（内国株式）,水産・農林業,TOPIX Mid400,1156.5,2159.23723,0,,2026-09-24,2026-09-24T20:36:14.873064+09:00
1333,Ｕｍｉｏｓ,プライム（内国株式）,水産・農林業,TOPIX Mid400,1288.5,549.6207675,0,,2026-09-24,2026-09-24T20:36:14.875480+09:00
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,情報・通信業,-,4915.0,370.961225,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.877798+09:00
1375,ユキグニファクトリー,プライム（内国株式）,水産・農林業,TOPIX Small 2,1175.0,42.387875,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.880065+09:00
1376,カネコ種苗,スタンダード（内国株式）,水産・農林業,TOPIX Small 2,1605.0,20.184335,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.882060+09:00
1377,サカタのタネ,プライム（内国株式）,水産・農林業,TOPIX Small 1,4390.0,384.641775,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:14.885578+09:00
1379,ホクト,プライム（内国株式）,水産・農林業,TOPIX Small 2,2112.0,185.15089,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.888210+09:00
1381,アクシーズ,スタンダード（内国株式）,水産・農林業,-,3565.0,14.606575,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.894077+09:00
1384,ホクリヨウ,スタンダード（内国株式）,水産・農林業,-,2136.0,24.611965,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.899649+09:00
1407,ウエストホールディングス,スタンダード（内国株式）,建設業,-,2188.0,1196.446166920166,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:14.907738+09:00
1414,ショーボンドホールディングス,プライム（内国株式）,建設業,TOPIX Mid400,1262.5,1353.9356425,0,,2026-09-24,2026-09-24T20:36:14.909938+09:00
1417,ミライト・ワン,プライム（内国株式）,建設業,TOPIX Mid400,3579.0,705.625965,1,株価が25日線より上,2026-09-24,2026-09-24T20:36:14.912120+09:00
1418,インターライフホールディングス,スタンダード（内国株式）,建設業,-,585.0,30.535419583129883,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.914225+09:00
1419,タマホーム,プライム（内国株式）,建設業,TOPIX Small 1,2894.0,487.903045,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:14.916260+09:00
141A,トライアルホールディングス,グロース（内国株式）,小売業,-,3630.0,2267.802075,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.919808+09:00
1429,日本アクア,プライム（内国株式）,建設業,-,800.0,61.38129,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.923753+09:00
142A,ジンジブ,グロース（内国株式）,サービス業,-,923.0,11.964975,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.925694+09:00
1430,ファーストコーポレーション,スタンダード（内国株式）,建設業,-,1068.0,21.035925,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.928593+09:00
